query,intent
"Paano mag-apply ng Japan visa?","apply_visa"
"Puwede ba akong mag-apply ng Japan visa online?","apply_visa"
"Saan ako mag-aapply ng visa papuntang Japan?","apply_visa"
"Paano magsimula ng application para sa Japan visa?","apply_visa"
"May guide ba kung paano mag-apply ng Japan visa?","apply_visa"
"Saan makakakuha ng application form para sa Japan visa?","apply_visa"
"Ano ang proseso sa pag-apply ng visa?","apply_visa"
"Kailangan bang personal na mag-apply ng visa?","apply_visa"
"Puwede bang ipa-apply sa travel agency ang Japan visa?","apply_visa"
"Paano mag-apply kung wala akong trabaho?","apply_visa"
"May online application ba para sa Japan visa?","apply_visa"
"Kailan dapat mag-file ng visa application?","apply_visa"
"Ano ang mga requirements sa tourist visa?","check_requirements"
"Kailangan ba ng bank statement para sa visa?","check_requirements"
"Ano ang kailangan kong dalhin sa embassy?","check_requirements"
"May minimum na pera bang kailangan para sa visa?","check_requirements"
"Puwede ba ang ID lang bilang requirement?","check_requirements"
"Anong supporting documents ang kailangan?","check_requirements"
"May checklist ba ng mga requirements?","check_requirements"
"Ano ang financial requirement para sa visa?","check_requirements"
"Kailangan ba ng travel itinerary?","check_requirements"
"May template ba ng invitation letter?","check_requirements"
"Kailangan bang may sponsor?","check_requirements"
"May travel insurance ba kailangan?","check_requirements"
"Ilang araw ang processing ng visa?","visa_processing_time"
"Gaano katagal bago lumabas ang visa?","visa_processing_time"
"Mabilis lang ba ang proseso ng visa?","visa_processing_time"
"Ano ang average processing time ng tourist visa?","visa_processing_time"
"Visa processing time sa Japan embassy?","visa_processing_time"
"Kailan ko malalaman ang result ng application?","visa_processing_time"
"Puwede bang i-expedite ang processing ng visa?","visa_processing_time"
"May rush option ba para sa Japan visa?","visa_processing_time"
"Anong araw lumalabas ang visa result?","visa_processing_time"
"Usually ilang working days bago ma-release ang visa?","visa_processing_time"
"May express processing ba ang visa?","visa_processing_time"
"Gaano kabilis makakuha ng visa?","visa_processing_time"
"Saan ang Japan embassy sa Maynila?","embassy_location"
"May branch ba ang Japan embassy sa Cebu?","embassy_location"
"Paano pumunta sa Japan embassy?","embassy_location"
"Anong address ng Japan embassy?","embassy_location"
"May mapa ba ng Japan embassy?","embassy_location"
"Embassy ng Japan sa Makati?","embassy_location"
"Saan ko makikita ang exact location ng Japan embassy?","embassy_location"
"Malapit ba sa MRT ang Japan embassy?","embassy_location"
"Japan consulate sa Davao?","embassy_location"
"Puwede bang sa consulate mag-apply?","embassy_location"
"Saan ang nearest embassy office?","embassy_location"
"May map route ba online?","embassy_location"
"Paano magpa-appointment sa Japan embassy?","schedule_appointment"
"Kailangan ba ng schedule sa pag-submit ng visa?","schedule_appointment"
"Online ba ang appointment booking?","schedule_appointment"
"Paano mag-set ng appointment for visa?","schedule_appointment"
"May schedule form ba online?","schedule_appointment"
"Pwede ba ang walk‑in application?","schedule_appointment"
"Anong oras puwedeng magpa‑schedule?","schedule_appointment"
"May cut‑off ba sa appointment?","schedule_appointment"
"Kailan bukas ang appointment slot?","schedule_appointment"
"May confirmation email ba pag nakapagpa‑schedule?","schedule_appointment"
"Puwede bang i-reschedule ang appointment?","schedule_appointment"
"May cancellation option ba para sa appointment?","schedule_appointment"
"Pwede ko bang i-track ang application ko?","track_application"
"May tracking number ba ang application?","track_application"
"How do I track my visa application status?","track_application"
"Bakit hindi ko makita ang status ng application?","track_application"
"Paano tingnan ang status ng submission?","track_application"
"May link ba para sa visa tracker?","track_application"
"Pwede bang mag-check online ang application status?","track_application"
"Saan ko makikita ang status update ng visa?","track_application"
"May notification ba pag approved?","track_application"
"May email update ba pagkatapos ma-release ang visa?","track_application"
"May SMS alert ba sa application status?","track_application"
"Anonymous query for status?","track_application"
"Ano ang kinakailangang flight itinerary?","travel_itinerary_info"
"Kailangan ba ng airline ticket bilang requirement?","travel_itinerary_info"
"Puwede bang AirBnb booking bilang proof?","travel_itinerary_info"
"Anong format ng itinerary ang kailangan?","travel_itinerary_info"
"Kailangan bang detalyado ang daily plan?","travel_itinerary_info"
"May travel route sheet ba?","travel_itinerary_info"
"Anong schedule format kailangan para sa visa?","travel_itinerary_info"
"Paano gumawa ng itinerary plan?","travel_itinerary_info"
"Kailangan bang tiket reservation?","travel_itinerary_info"
"May sample itinerary template?","travel_itinerary_info"
"Ano ang cover letter sample para sa visa?","cover_letter"
"Paano sumulat ng cover letter para sa visa?","cover_letter"
"May template ba ng cover letter?","cover_letter"
"Pwede bang English o Tagalog ang cover letter?","cover_letter"
"Kailangan ba ng notarized cover letter?","cover_letter"
"Ano dapat laman ng rationale letter?","cover_letter"
"Can I write a cover letter in Tagalog?","cover_letter"
"Ano ang ilalagay na reasons sa  cover letter?","cover_letter"
"May example letter for visa purpose?","cover_letter"
"Anong detalye dapat isama sa cover letter?","cover_letter"
